SUBJECT,NBR,COURSE NAME,PROF,TOTAL,A+,A,A-,B+,B,B-,C+,C,C-,D,F,W,AVG GPA
CSCI,313,Data Structures,"STEINBERG, O",31,3,2,0,4,1,3,3,3,3,6,2,1,2.277
CSCI,313,Data Structures,"SMITH-THOMPSON, A",29,3,3,0,0,1,0,1,6,0,0,5,8,2.174
CSCI,313,Data Structures,"STEINBERG, O",42,2,1,2,1,4,4,2,8,4,4,5,5,2.078
CSCI,313,Data Structures,"SMITH-THOMPSON, A",25,0,2,0,0,1,1,1,6,0,0,3,11,2
CSCI,316,Principles of Programming Lang,"SMITH-THOMPSON, A",35,0,5,0,2,9,6,4,6,0,0,0,1,2.844
CSCI,316,Principles of Programming Lang,"KONG, T",35,3,6,1,3,3,3,1,4,0,1,4,5,2.69
CSCI,316,Principles of Programming Lang,"KONG, T",35,1,1,3,3,4,3,1,3,0,1,5,9,2.336
CSCI,316,Principles of Programming Lang,"SVITAK, J",28,0,0,1,0,5,1,1,3,2,7,2,6,1.823
CSCI,316,Principles of Programming Lang,"SVITAK, J",30,0,0,0,2,1,1,2,4,2,6,3,9,1.633
CSCI,316,Principles of Programming Lang,"KONG, T",61,0,5,0,2,4,3,3,4,0,2,23,13,1.383
CSCI,320,Theory of Computation,"OBRENIC, B",86,2,11,2,7,11,10,7,12,0,0,15,9,2.371
CSCI,320,Theory of Computation,"BOKLAN, K",37,1,2,0,0,0,0,0,2,0,0,2,30,2.286
CSCI,320,Theory of Computation,"OBRENIC, B",109,0,6,0,4,19,9,6,19,0,1,24,21,1.947
CSCI,320,Theory of Computation,"BOKLAN, K",28,0,1,0,0,0,1,0,3,0,0,4,19,1.411
CSCI,323,Design & Analysis Algorithms,"TAO, X",30,7,5,7,3,3,1,0,2,0,0,0,2,3.554
CSCI,323,Design & Analysis Algorithms,"PHILLIPS, T",18,1,0,4,1,0,1,1,3,0,0,1,6,2.758
CSCI,323,Design & Analysis Algorithms,"PHILLIPS, T",25,2,2,1,0,2,2,0,1,0,0,4,11,2.364
CSCI,323,Design & Analysis Algorithms,"BROWN, T",30,0,0,1,3,4,8,1,6,0,0,5,2,2.196
CSCI,323,Design & Analysis Algorithms,"GOSWAMI, M",61,1,5,6,2,5,1,6,7,0,0,13,15,2.137
CSCI,331,Database Systems,"STEINBERG, O",35,4,4,3,4,6,3,3,4,3,1,0,0,2.954
CSCI,331,Database Systems,"STEINBERG, O",31,1,2,4,6,3,4,3,1,3,1,0,3,2.907
CSCI,331,Database Systems,"HELLER, P",29,0,1,1,1,0,1,2,5,0,0,1,17,2.358
CSCI,331,Database Systems,"LEAVITT, D",39,1,4,4,3,2,4,1,4,0,1,7,8,2.348
CSCI,331,Database Systems,"OBRENIC, B",83,3,3,0,2,6,9,7,29,0,1,13,10,2.027
CSCI,334,Data Mining and Warehousing,"SY, B",13,0,1,2,0,2,0,1,1,0,0,0,6,3.1
CSCI,335,Information Org and Retrieval,"GOLDBERG, R",33,0,4,4,4,5,3,2,5,0,0,1,5,2.918
CSCI,340,Operating Systems Principles,"SVADLENKA, J",33,2,3,1,1,3,3,2,1,1,0,0,14,3.082
CSCI,340,Operating Systems Principles,"SVADLENKA, J",22,1,2,0,3,2,1,0,3,0,1,0,9,2.892
